1000 100000	
526	959	31
205	476	5
433	816	9
506	554	9
670	60	45
563	195	36
972	244	32
297	436	15
814	300	43
310	924	33
523	865	44
694	972	44
745	624	40
517	256	1
275	633	33
914	145	4
628	295	47
842	889	4
751	811	43
413	960	16
222	331	14
676	194	17
428	373	21
444	589	9
112	140	6
504	136	16
938	783	18
264	407	28
675	249	17
30	430	36
436	955	13
792	405	5
328	680	47
294	639	19
540	334	22
963	123	34
507	533	17
893	436	22
428	31	42
82	65	33
54	591	1
614	527	5
620	403	9
954	632	14
884	338	12
980	772	40
465	996	21
658	528	38
746	773	2
63	502	45
477	382	10
582	707	38
231	760	32
213	75	25
112	762	6
629	771	7
479	918	19
470	272	35
235	581	5
926	763	35
228	578	4
37	347	20
232	719	29
337	849	36
424	830	20
8	556	9
615	754	40
479	997	36
709	870	40
354	948	41
782	209	8
444	886	20
162	415	36
702	434	19
318	246	31
891	900	21
109	720	43
230	158	31
569	425	19
761	15	18
746	411	30
24	736	41
870	119	33
158	153	31
722	871	25
101	391	35
37	102	43
214	414	37
827	701	40
407	853	7
802	322	23
370	714	46
622	488	24
225	62	7
92	479	4
168	995	1
448	201	1
843	161	12
426	866	42
805	782	49
200	460	35
326	411	36
971	657	43
646	911	25
560	227	22
670	766	25
882	330	43
962	964	21
314	932	25
358	951	45
75	210	49
277	421	49
466	273	27
502	605	3
747	832	50
505	82	25
468	413	50
217	126	3
91	779	41
426	607	41
884	662	34
219	428	13
416	223	13
215	893	32
559	989	17
269	907	20
64	9	1
372	713	9
993	534	20
30	292	26
597	749	41
385	161	10
585	521	32
374	798	32
648	647	46
166	560	1
629	194	14
386	15	25
920	367	34
614	685	2
319	708	28
122	907	23
288	965	10
42	901	17
285	755	16
345	125	5
791	884	46
495	371	40
190	89	15
329	155	20
479	728	5
955	135	36
976	240	23
665	621	5
125	450	3
876	46	36
260	515	41
683	309	38
550	561	43
150	198	42
901	839	34
7	73	41
621	850	46
753	885	49
87	167	26
234	905	3
26	169	35
971	191	7
37	535	24
442	647	19
430	605	49
837	658	25
831	489	23
54	280	47
356	907	35
445	512	27
269	314	1
234	214	1
476	892	4
780	964	29
815	920	45
180	160	24
873	167	46
364	16	41
517	669	2
209	853	10
674	814	38
820	488	30
597	366	17
635	52	38
302	46	3
415	417	24
864	207	34
635	846	5
458	902	31
684	894	41
454	60	27
735	874	11
277	483	28
927	539	23
548	601	39
968	170	45
640	298	12
351	228	24
138	970	19
639	377	20
770	61	26
113	457	48
637	642	50
264	36	30
319	6	26
461	588	4
990	529	28
968	893	48
523	654	28
433	754	49
354	822	40
475	188	42
402	999	21
381	214	5
624	782	17
200	317	31
51	40	34
180	465	6
749	224	12
109	825	13
56	884	9
856	672	21
124	112	16
5	387	29
370	615	36
977	950	48
808	997	10
991	985	26
232	515	26
814	261	6
821	826	36
193	905	42
384	133	36
808	904	39
747	188	50
334	573	45
601	19	6
34	374	43
602	489	15
936	484	50
138	696	26
985	978	38
726	837	49
948	39	22
283	481	2
496	460	19
714	995	31
711	95	9
612	619	42
75	339	22
654	550	5
32	391	50
208	720	39
957	372	45
139	169	16
775	302	40
74	750	8
811	358	22
969	157	9
254	93	50
845	811	10
735	546	2
451	383	30
597	713	43
700	560	8
82	348	39
323	113	47
980	902	12
276	719	17
787	753	10
111	670	41
460	543	40
395	346	2
552	316	47
942	414	49
122	605	30
337	617	31
537	732	28
405	439	29
3	915	45
381	351	30
537	239	21
300	680	21
865	665	4
372	901	11
869	964	15
15	425	30
409	849	6
5	236	26
833	839	32
138	641	5
269	324	9
502	279	28
29	635	31
735	570	42
550	616	11
28	95	9
289	47	42
858	64	44
884	199	31
251	99	8
399	697	31
330	987	7
595	730	14
842	903	6
100	319	19
187	291	46
145	807	13
595	400	29
840	140	12
128	392	3
349	552	19
541	303	42
770	768	39
61	503	43
115	733	2
354	425	20
587	240	46
670	138	43
976	880	42
989	75	18
606	887	16
629	36	27
418	63	12
746	825	47
678	585	46
705	317	36
171	903	7
602	325	7
963	906	9
838	703	30
589	357	15
715	245	28
89	321	6
482	857	45
949	433	9
176	631	5
563	340	42
713	235	1
773	48	45
838	31	48
214	30	11
355	958	19
465	444	3
167	241	24
339	745	50
466	752	50
386	417	43
190	637	6
666	722	49
19	51	49
796	16	26
571	68	44
73	569	40
647	169	35
390	120	38
344	548	9
55	573	47
739	374	39
648	635	34
456	623	39
409	72	47
158	59	22
633	826	28
157	835	48
933	668	16
964	34	16
479	868	50
638	377	6
532	843	20
850	865	33
815	661	47
843	427	45
508	371	49
813	609	31
468	689	22
249	575	25
944	239	32
702	298	35
59	546	25
222	94	31
345	768	19
180	998	30
540	781	10
316	804	23
194	635	11
217	470	24
354	810	35
578	383	23
464	22	14
253	67	31
774	682	32
815	418	16
313	84	28
279	16	41
135	805	8
997	611	20
529	583	11
8	475	42
124	478	38
825	240	44
405	692	29
966	785	38
761	116	8
599	310	29
622	242	38
930	781	42
600	705	46
960	467	8
5	823	29
703	118	37
587	994	17
752	537	27
347	303	3
337	539	6
718	654	35
120	545	43
467	831	38
683	426	40
465	711	34
131	290	43
908	436	48
897	176	32
870	948	39
793	711	32
225	8	1
495	654	26
785	990	32
500	181	32
418	498	38
494	93	37
445	660	32
723	192	32
457	717	23
931	972	43
314	623	23
861	493	26
329	97	21
396	79	9
428	362	32
791	169	30
557	459	4
537	913	8
96	863	14
27	490	27
865	648	49
667	430	21
391	868	17
714	267	22
383	121	14
373	684	18
968	70	2
336	599	25
731	23	44
398	623	43
237	871	16
723	270	49
577	854	45
900	890	28
61	751	40
250	533	15
561	826	6
580	516	36
261	424	20
925	120	32
10	622	28
882	459	2
298	227	19
934	604	34
903	189	33
617	569	1
618	53	27
670	397	46
736	929	48
212	595	15
238	92	7
372	842	38
381	970	45
309	704	3
23	404	19
782	915	15
188	664	30
425	728	49
